Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0.0,0.0,50.0,193.0,37.0,12.0,16.0,176.0,0.0,123256.0,1155856.0,0.0,0.0,0.0,0.0,74.0,0.0,47.0,0.0,0.0,38.0,298.0
0.0,0.0,19.0,104.0,28.0,2.0,17.0,168.0,0.0,51232.0,508360.0,0.0,0.0,0.0,0.0,32.0,0.0,50.0,0.0,0.0,37.0,245.0
0.0,0.0,22.0,145.0,24.0,5.0,18.0,182.0,0.0,86048.0,675784.0,0.0,0.0,0.0,0.0,42.0,0.0,55.0,0.0,0.0,36.0,238.0
0.0,0.0,10.0,231.0,28.0,10.0,17.0,208.0,0.0,134080.0,1037896.0,0.0,0.0,0.0,0.0,78.0,0.0,63.0,0.0,0.0,49.0,263.0
0.0,0.0,42.0,158.0,30.0,1.0,17.0,222.0,0.0,42672.0,567704.0,0.0,0.0,0.0,0.0,29.0,0.0,84.0,0.0,0.0,52.0,337.0
0.0,0.0,8.0,125.0,25.0,1.0,17.0,185.0,0.0,22160.0,400240.0,0.0,0.0,0.0,0.0,14.0,0.0,56.0,0.0,0.0,46.0,255.0
0.0,0.0,0.0,80.0,21.0,3.0,16.0,174.0,0.0,22536.0,340768.0,0.0,0.0,0.0,0.0,18.0,0.0,46.0,0.0,0.0,43.0,225.0
0.0,0.0,0.0,76.0,24.0,3.0,17.0,168.0,0.0,22880.0,342400.0,0.0,0.0,0.0,0.0,16.0,0.0,50.0,0.0,0.0,40.0,187.0
0.0,0.0,0.0,95.0,23.0,2.0,16.0,164.0,0.0,72272.0,555040.0,0.0,0.0,0.0,0.0,35.0,0.0,45.0,0.0,0.0,38.0,176.0
0.0,0.0,31.0,1358.0,54.0,3.0,17.0,175.0,0.0,772808.0,8958680.0,0.0,0.0,0.0,0.0,622.0,0.0,48.0,0.0,0.0,37.0,240.0
0.0,0.0,634.0,154.0,41.0,2.0,18.0,171.0,0.0,92400.0,925872.0,0.0,0.0,0.0,0.0,75.0,0.0,49.0,0.0,0.0,35.0,1517.0
0.0,0.0,51.0,260.0,27.0,5.0,17.0,185.0,0.0,148016.0,1736872.0,0.0,0.0,0.0,0.0,114.0,0.0,49.0,0.0,0.0,33.0,285.0
0.0,0.0,100.0,84.0,22.0,2.0,18.0,161.0,0.0,50864.0,345544.0,0.0,0.0,0.0,0.0,16.0,0.0,55.0,0.0,0.0,36.0,389.0
