etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,class
0.0,0.0,72.0,121.0,174.0,174.0,34.0,2928.0,0.0,38026032.0,1901784.0,0.0,0.0,0.0,0.0,3400.0,0.0,75.0,0.0,0.0,55.0,2916.0,normal
0.0,0.0,73.0,108.0,172.0,176.0,37.0,2154.0,0.0,38817744.0,1452848.0,0.0,0.0,0.0,0.0,3458.0,0.0,78.0,0.0,0.0,51.0,2139.0,normal
0.0,0.0,66.0,116.0,155.0,170.0,30.0,1970.0,0.0,36649264.0,1325144.0,0.0,0.0,0.0,0.0,3266.0,0.0,69.0,0.0,0.0,54.0,1950.0,normal
0.0,0.0,68.0,118.0,163.0,190.0,40.0,2061.0,0.0,38199600.0,1429048.0,0.0,0.0,0.0,0.0,3416.0,0.0,81.0,0.0,0.0,54.0,2049.0,normal
0.0,0.0,70.0,110.0,170.0,175.0,33.0,2079.0,0.0,38464704.0,1396232.0,0.0,0.0,0.0,0.0,3435.0,0.0,96.0,0.0,0.0,47.0,2036.0,normal
0.0,0.0,69.0,112.0,172.0,177.0,34.0,2090.0,0.0,38692440.0,1416976.0,0.0,0.0,0.0,0.0,3456.0,0.0,93.0,0.0,0.0,53.0,2055.0,normal
0.0,0.0,66.0,107.0,169.0,161.0,37.0,1972.0,0.0,36483216.0,1328920.0,0.0,0.0,0.0,0.0,3262.0,0.0,77.0,0.0,0.0,56.0,1944.0,normal
0.0,0.0,70.0,112.0,175.0,175.0,35.0,2112.0,0.0,39318856.0,1427352.0,0.0,0.0,0.0,0.0,3514.0,0.0,76.0,0.0,0.0,54.0,2085.0,normal
0.0,0.0,67.0,111.0,171.0,176.0,38.0,2072.0,0.0,38646056.0,1388136.0,0.0,0.0,0.0,0.0,3451.0,0.0,79.0,0.0,0.0,51.0,2046.0,normal
0.0,0.0,69.0,122.0,171.0,179.0,39.0,2088.0,0.0,38624632.0,2099800.0,0.0,0.0,0.0,0.0,3447.0,0.0,78.0,0.0,0.0,61.0,2129.0,normal
0.0,0.0,66.0,100.0,164.0,176.0,33.0,1986.0,0.0,37220888.0,1332160.0,0.0,0.0,0.0,1.0,3323.0,0.0,72.0,0.0,0.0,52.0,1962.0,normal
0.0,0.0,66.0,111.0,181.0,179.0,38.0,3750.0,0.0,37984760.0,2398648.0,0.0,0.0,0.0,0.0,3394.0,0.0,130.0,0.0,0.0,52.0,3692.0,normal
0.0,0.0,71.0,113.0,175.0,176.0,32.0,3071.0,0.0,38738128.0,1954688.0,0.0,0.0,0.0,0.0,3458.0,0.0,72.0,0.0,0.0,57.0,3055.0,normal
0.0,0.0,65.0,114.0,170.0,170.0,29.0,2296.0,0.0,39101240.0,1491168.0,0.0,0.0,0.0,0.0,3486.0,0.0,68.0,0.0,0.0,56.0,2267.0,normal
0.0,0.0,64.0,123.0,167.0,161.0,29.0,1993.0,0.0,36745496.0,1357224.0,0.0,0.0,0.0,0.0,3285.0,0.0,70.0,0.0,0.0,51.0,1983.0,normal
0.0,0.0,68.0,139.0,184.0,168.0,32.0,2066.0,0.0,38541824.0,1440744.0,0.0,0.0,0.0,0.0,3442.0,0.0,73.0,0.0,0.0,56.0,2071.0,normal
0.0,0.0,66.0,141.0,171.0,170.0,31.0,2053.0,0.0,38453760.0,1417632.0,0.0,0.0,0.0,0.0,3434.0,0.0,72.0,0.0,0.0,55.0,2054.0,normal
0.0,0.0,69.0,110.0,166.0,179.0,32.0,2087.0,0.0,39015120.0,1371560.0,0.0,0.0,0.0,0.0,3487.0,0.0,74.0,0.0,0.0,49.0,2058.0,normal
0.0,0.0,64.0,109.0,152.0,162.0,29.0,1962.0,0.0,36800872.0,1277136.0,0.0,0.0,0.0,0.0,3287.0,0.0,67.0,0.0,0.0,49.0,1933.0,normal
