Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,class
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory,
0.0,0.0,0.0,436.0,8.0,2.0,42.0,163.0,0.0,9992.0,978128.0,0.0,0.0,0.0,0.0,6.0,0.0,99.0,0.0,0.0,471.0,76.0,8.0,7.0,5.0,0.0859341431975313,23.822587256512204,signature_d
0.0,0.0,0.0,427.0,10.0,1.0,39.0,156.0,0.0,20896.0,935328.0,0.0,0.0,0.0,0.0,14.0,0.0,94.0,0.0,0.0,441.0,84.0,6.0,7.0,8.0,0.0859341431975313,23.821313997417874,signature_d
0.0,0.0,0.0,446.0,7.0,2.0,41.0,156.0,0.0,19712.0,970576.0,0.0,0.0,0.0,0.0,14.0,0.0,98.0,0.0,0.0,458.0,84.0,6.0,7.0,6.0,0.0859341431975313,23.822419217854165,signature_d
0.0,0.0,0.0,447.0,9.0,2.0,40.0,165.0,0.0,21600.0,982568.0,0.0,0.0,0.0,0.0,14.0,0.0,96.0,0.0,0.0,464.0,89.0,6.0,7.0,7.0,0.0859341431975313,23.821796112003764,signature_d
0.0,0.0,0.0,444.0,7.0,1.0,40.0,167.0,0.0,20936.0,970696.0,0.0,0.0,0.0,0.0,14.0,0.0,98.0,0.0,0.0,464.0,84.0,6.0,7.0,6.0,0.0859341431975313,23.821623537178684,signature_d
0.0,0.0,0.0,425.0,9.0,2.0,39.0,156.0,0.0,13904.0,944248.0,0.0,0.0,0.0,0.0,10.0,0.0,95.0,0.0,0.0,444.0,83.0,6.0,7.0,6.0,0.0859341431975313,23.8210576373056,signature_d
0.0,0.0,0.0,422.0,10.0,3.0,42.0,159.0,0.0,11424.0,959608.0,0.0,0.0,0.0,0.0,4.0,0.0,99.0,0.0,0.0,457.0,76.0,6.0,7.0,8.0,0.0859341431975313,23.82072277698995,signature_d
0.0,0.0,0.0,449.0,10.0,2.0,43.0,169.0,0.0,21160.0,996248.0,0.0,0.0,0.0,0.0,14.0,0.0,102.0,0.0,0.0,470.0,88.0,6.0,7.0,6.0,0.0859341431975313,23.82101558373117,signature_d
0.0,0.0,0.0,445.0,10.0,4.0,42.0,161.0,0.0,19880.0,987272.0,0.0,0.0,0.0,0.0,14.0,0.0,100.0,0.0,0.0,461.0,87.0,6.0,7.0,7.0,0.0859341431975313,23.82285813656873,signature_d
0.0,0.0,0.0,443.0,15.0,9.0,44.0,161.0,0.0,22432.0,1032776.0,0.0,0.0,0.0,0.0,12.0,0.0,99.0,0.0,0.0,472.0,90.0,6.0,6.0,6.0,0.0859341431975313,23.82141041175019,signature_d
0.0,0.0,0.0,405.0,8.0,2.0,41.0,152.0,0.0,4464.0,917664.0,0.0,0.0,0.0,0.0,2.0,0.0,94.0,0.0,0.0,444.0,69.0,6.0,6.0,6.0,0.0859341431975313,23.821251333909764,signature_d
0.0,0.0,0.0,430.0,10.0,2.0,45.0,155.0,0.0,10616.0,960520.0,0.0,0.0,0.0,0.0,7.0,0.0,102.0,0.0,0.0,456.0,77.0,6.0,6.0,5.0,0.0859341431975313,23.82104408165512,signature_d
0.0,0.0,0.0,435.0,7.0,2.0,42.0,161.0,0.0,12320.0,965544.0,0.0,0.0,0.0,0.0,8.0,0.0,100.0,0.0,0.0,458.0,82.0,6.0,6.0,8.0,0.0859341431975313,23.82154402689156,signature_d
0.0,0.0,0.0,442.0,10.0,1.0,42.0,163.0,0.0,15784.0,980080.0,0.0,0.0,0.0,0.0,10.0,0.0,98.0,0.0,0.0,466.0,84.0,10.0,7.0,31.0,0.0859341431975313,24.32681268638268,signature_d
0.0,0.0,0.0,427.0,8.0,1.0,42.0,154.0,0.0,3576.0,949232.0,0.0,0.0,0.0,0.0,2.0,0.0,97.0,0.0,0.0,456.0,77.0,22.0,9.0,30.0,0.0859341431975313,24.83016508783266,signature_d
0.0,0.0,0.0,445.0,10.0,4.0,42.0,155.0,0.0,27680.0,972736.0,0.0,0.0,0.0,0.0,16.0,0.0,97.0,0.0,0.0,450.0,87.0,30.0,12.0,30.0,0.0859341431975313,25.124947368864305,signature_d
0.0,0.0,0.0,439.0,8.0,3.0,42.0,176.0,0.0,21576.0,998240.0,0.0,0.0,0.0,0.0,14.0,0.0,97.0,0.0,0.0,471.0,92.0,30.0,14.0,32.0,0.0859341431975313,25.259280499831444,signature_d
