etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,class
0,0,0,444,9,1,39,161,0,20760,969480,0,0,0,0,14,0,100,0,0,458,83,6.0,7.0,5.0,normal
0,0,0,424,9,3,45,152,0,4616,962368,0,0,0,0,2,0,101,0,0,460,69,6.0,7.0,7.0,normal
0,0,0,450,9,2,52,159,0,14056,996312,0,0,0,0,10,0,108,0,0,468,87,6.0,6.0,5.0,normal
0,0,0,425,9,3,47,149,0,11744,953808,0,0,0,0,4,0,103,0,0,457,69,6.0,6.0,6.0,normal
0,0,0,426,9,1,44,162,0,20880,981368,0,0,0,0,14,0,98,0,0,439,82,6.0,6.0,8.0,normal
0,0,0,444,8,3,40,153,0,13840,941216,0,0,0,0,10,0,99,0,0,470,80,6.0,6.0,5.0,normal
0,0,0,431,10,2,41,147,0,4968,963496,0,0,0,0,2,0,99,0,0,460,70,6.0,6.0,7.0,normal
0,0,0,442,8,2,40,160,0,27664,963632,0,0,0,0,15,0,97,0,0,457,84,9.0,7.0,18.0,normal
0,0,0,453,10,2,40,162,0,21120,989496,0,0,0,0,15,0,98,0,0,469,86,9.0,7.0,5.0,normal
0,0,0,423,7,2,36,150,0,21512,921248,0,0,0,0,14,0,90,0,0,434,80,6.0,7.0,6.0,normal
0,0,0,452,19,7,40,160,0,20856,1043688,0,0,0,0,14,0,100,0,0,473,91,6.0,7.0,8.0,normal
0,0,0,446,8,2,43,162,0,20376,977760,0,0,0,0,14,0,99,0,0,466,84,6.0,7.0,7.0,normal
0,0,0,433,11,4,39,156,0,20904,965432,0,0,0,0,14,0,94,0,0,448,86,6.0,7.0,5.0,normal
0,0,0,447,7,2,42,159,0,22544,969096,0,0,0,0,15,0,99,0,0,459,84,6.0,7.0,5.0,normal
0,0,0,449,11,3,42,159,0,27056,985176,0,0,0,0,15,0,100,0,0,464,85,6.0,7.0,6.0,normal
0,0,0,435,7,2,40,154,0,10888,961592,0,0,0,0,7,0,96,0,0,464,72,6.0,7.0,8.0,normal
0,0,0,420,9,0,42,151,0,11656,928872,0,0,0,0,7,0,100,0,0,439,77,6.0,7.0,8.0,normal
0,0,0,438,8,4,43,156,0,26520,963856,0,0,0,0,15,0,97,0,0,457,79,6.0,6.0,5.0,normal
0,0,0,449,9,1,39,161,0,22264,976912,0,0,0,0,15,0,98,0,0,463,84,6.0,6.0,5.0,normal
0,0,0,454,9,2,42,159,0,21128,987616,0,0,0,0,14,0,100,0,0,466,85,6.0,6.0,5.0,normal
0,0,0,456,70,2,42,166,0,20096,1194328,0,0,0,0,14,0,104,0,0,464,155,6.0,6.0,5.0,normal
0,0,0,434,62,5,38,170,0,20696,1128776,0,0,0,0,14,0,90,0,0,443,163,6.0,6.0,9.0,normal
0,0,0,467,67,5,42,168,0,10720,1219008,0,0,0,0,7,0,100,0,0,475,172,13.0,7.0,29.0,normal
0,0,0,440,62,7,41,172,0,28416,1143480,0,0,0,0,16,0,92,0,0,440,167,24.0,10.0,29.0,normal
0,0,0,440,13,5,42,154,0,9680,1009304,0,0,0,0,6,0,104,0,0,474,77,30.0,12.0,30.0,normal
0,0,0,450,151,5,40,164,0,10944,1442752,0,0,0,0,7,0,95,0,0,457,250,30.0,14.0,29.0,normal
0,0,0,470,72,6,44,170,0,20072,1231672,0,0,0,0,14,0,101,0,0,463,180,30.0,17.0,32.0,normal
0,0,0,450,75,6,42,171,0,11224,1217200,0,0,0,0,4,0,95,0,0,462,189,30.0,19.0,30.0,normal
0,0,0,426,33,3,42,160,0,10112,1026488,0,0,0,0,6,0,96,0,0,442,115,30.0,21.0,30.0,normal
0,0,0,436,8,2,40,148,0,10264,963000,0,0,0,0,7,0,98,0,0,460,73,30.0,24.0,29.0,normal
